code_name,p,decoder_name,repeat_id,seed,num_shots,num_failures,logical_error_rate,ler_ci_low,ler_ci_high,avg_latency_ms_per_shot,p50_latency_ms_per_shot,p95_latency_ms_per_shot,p99_latency_ms_per_shot,avg_bp_iterations_per_shot,p95_bp_iterations_per_shot,bp_converged_fraction,syndrome_avg_weight,syndrome_p95_weight,syndrome_avg_relative_weight,syndrome_p95_relative_weight,noise_model,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,mx_row_weight_mean,mz_row_weight_mean,code_file,ci_method
bb_n96_k10,0.02,BP-OSD,0,101007,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.023417799988237675,0.016900000446185004,0.037224999505269786,0.1068159993883454,1.706,3.0,0.998,6.7,14.0,0.13958333333333334,0.2916666666666667,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.02,BP-LSD,0,101007,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.018614700029502274,0.014199998986441642,0.02932999941549494,0.05313800051226277,1.628,3.0,0.998,6.7,14.0,0.13958333333333334,0.2916666666666667,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.02,BP-OSD,1,101008,1000,5,0.005,0.0021375355273244596,0.011650955373375113,0.024310499968123622,0.02165000023524044,0.03940999986298265,0.10630099997797515,1.798,4.0,0.995,6.852,14.0,0.14275000000000002,0.2916666666666667,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.02,BP-LSD,1,101008,1000,5,0.005,0.0021375355273244596,0.011650955373375113,0.021791000004668604,0.015749999874969944,0.034614999731275006,0.09643400098866547,1.722,3.0,0.995,6.852,14.0,0.14275000000000002,0.2916666666666667,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.02,BP-OSD,2,101009,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,0.027304100005494547,0.022300000637187622,0.042305000170017586,0.2578009991157156,1.885,4.0,0.994,6.426,14.0,0.133875,0.2916666666666667,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.02,BP-LSD,2,101009,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,0.03278480002336437,0.025299999833805487,0.04670000089390669,0.18700399918088778,1.752,4.0,0.994,6.426,14.0,0.133875,0.2916666666666667,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.02,BP-OSD,3,101010,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,0.02744500004882866,0.019400000383029692,0.04922999996779251,0.11930499891604995,1.733,4.0,0.997,6.604,14.0,0.13758333333333334,0.2916666666666667,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.02,BP-LSD,3,101010,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,0.02880909996201808,0.02080000012938399,0.048405001052742584,0.13848500066160332,1.629,3.0,0.997,6.604,14.0,0.13758333333333334,0.2916666666666667,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.02,BP-OSD,4,101011,1000,3,0.003,0.0010207838811386186,0.008783014053503173,0.02031750002061017,0.01650000012887176,0.03601999942475229,0.05303099975208167,1.825,4.0,0.998,6.72,14.0,0.13999999999999999,0.2916666666666667,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.02,BP-LSD,4,101011,1000,3,0.003,0.0010207838811386186,0.008783014053503173,0.021786099996461417,0.016250000953732524,0.03720499953487887,0.06763699997463843,1.694,4.0,0.998,6.72,14.0,0.13999999999999999,0.2916666666666667,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
