code_name,p,repeat_id,seed,num_shots,delta_ler,delta_avg_latency,delta_p95_latency,delta_p99_latency,delta_avg_bp_iterations,delta_bp_converged_fraction,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,syndrome_avg_weight,syndrome_p95_weight
bb_n108_k4,0.01,1,500008,1000,0.0,0.0010972009695251993,-0.003500001093925599,-0.020412000703799907,-0.08399999999999985,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,4.084,12.0
bb_n108_k4,0.01,2,500009,1000,0.0,0.005564700983086401,0.002094999672408504,0.0192010006503551,-0.07800000000000007,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,3.83,10.0
bb_n108_k4,0.01,3,500010,1000,0.0,0.013794199003314099,0.011784998969233098,0.0273650005146919,-0.06699999999999995,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,4.004,10.099999999999907
bb_n108_k4,0.01,4,500011,1000,0.0,0.005887901999812997,0.0050049998208124,-0.02096199879815701,-0.07299999999999995,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,4.138,10.0
bb_n108_k4,0.02,0,501007,1000,0.0,-0.0038603999619227017,-0.005075000717624796,0.031289997186831994,-0.09099999999999997,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,7.498,16.0
bb_n108_k4,0.02,1,501008,1000,0.0,-0.002323799990335898,-0.007609999647684204,-0.0174940004762903,-0.11399999999999988,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,7.408,16.0
bb_n108_k4,0.02,2,501009,1000,0.0,0.0017719039533404014,0.002000000677071498,0.018023998836724703,-0.08299999999999996,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,7.384,16.0
bb_n108_k4,0.02,3,501010,1000,0.0,0.0008090970295598007,-0.0010949993338726996,0.0626009982806864,-0.1280000000000001,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,7.516,16.0
bb_n108_k4,0.02,4,501011,1000,0.0,0.004496301016843101,0.004810001973965,0.03346299938129969,-0.08199999999999985,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,7.422,16.0
bb_n108_k4,0.03,0,502007,1000,0.0,0.008741200053918902,0.008380000326724299,0.1971169995704261,-0.12699999999999978,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,10.518,18.09999999999991
bb_n108_k4,0.03,1,502008,1000,0.0,0.0064629979970049975,-0.001230000088980901,0.20000700144009892,-0.06199999999999983,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,10.518,18.0
bb_n108_k4,0.03,2,502009,1000,0.0,-0.005118600109199199,-0.013430000217340407,0.04902300021058181,-0.08899999999999997,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,10.754,20.0
bb_n108_k4,0.03,3,502010,1000,0.0,0.017921699980433897,0.0254750013482408,0.32087699100884415,-0.05699999999999994,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,10.6,18.09999999999991
bb_n108_k4,0.03,4,502011,1000,0.0,0.0015660009466954977,-0.005845001214765999,0.23160099968663383,-0.055999999999999606,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,10.726,18.0
bb_n108_k4,0.05,0,503007,1000,0.0,0.025496398982795695,0.19227095026508284,0.31958400084477023,-0.01899999999999924,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,15.07,22.0
bb_n108_k4,0.05,1,503008,1000,0.0,0.03951400293044571,0.25951999887183774,0.4051919899211495,-0.006000000000000227,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,15.436,24.0
bb_n108_k4,0.05,2,503009,1000,0.0,0.026011403995653395,0.22185999769135362,0.27466600167826993,-0.04299999999999926,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,15.47,24.0
bb_n108_k4,0.05,3,503010,1000,0.0,0.053762402025313294,0.3169890508615933,0.4199740003059561,-0.0730000000000004,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,15.334,24.0
bb_n108_k4,0.05,4,503011,1000,0.0,0.08244460503374279,0.4706249998889689,0.8617850001246546,-0.034999999999998366,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,15.272,24.0
