nx,N,K0,M_K,R_size,t,seed,alpha,J,V_label,R_hops,err_b_K_rel,err_rho_vs_full,err_E_LP,leakage_apriori,bound_apriori,err_Z_frob,err_rho_lp_vs_full,rt_build_H_s,rt_eig_s,rt_full_s,rt_galerkin_s,rt_total_s
4,16,7.0,149,3,0.4,0,0.1,1,"V=0.1cos(1,0)",1,0.00012212142697404753,0.009404152410291368,2.726624892945808e-07,0.046583498917155776,0.018633399566862312,0.0012484483562615963,0.009399223931299267,0.0013964370009489357,0.2230591310071759,nan,nan,0.2707032970211003
4,16,7.0,149,3,0.5,0,0.1,1,"V=0.1cos(1,0)",1,0.00014070286369336402,0.012069308992697052,3.8088130256125707e-07,0.046583498917155776,0.023291749458577888,0.0015452706554903149,0.012050139407048754,0.0013964370009489357,0.2230591310071759,nan,nan,1.2448422400048003
4,16,7.0,149,3,0.6,0,0.1,1,"V=0.1cos(1,0)",1,0.00015408072451186388,0.010929115967001373,4.7159211853779753e-07,0.046583498917155776,0.027950099350293463,0.0018322504885247743,0.01090778859831011,0.0013964370009489357,0.2230591310071759,nan,nan,1.6708085140271578
4,16,7.0,149,3,0.7,0,0.1,1,"V=0.1cos(1,0)",1,0.00016365863367714842,0.009474865344790936,5.345663248743372e-07,0.046583498917155776,0.03260844924200904,0.00210769861316491,0.009483486842345555,0.0013964370009489357,0.2230591310071759,nan,nan,1.3703163460013457
4,16,7.0,149,3,0.8,0,0.1,1,"V=0.1cos(1,0)",1,0.00017158107723804967,0.00802985619995509,5.678722429946956e-07,0.046583498917155776,0.037266799133724625,0.002370016306154302,0.008047662009549988,0.0013964370009489357,0.2230591310071759,nan,nan,0.23515782502363436
4,16,7.0,149,3,0.9,0,0.1,1,"V=0.1cos(1,0)",1,0.00018018220993473524,0.007884248190261702,5.731524510838197e-07,0.046583498917155776,0.0419251490254402,0.002617685550159088,0.007892080621987287,0.0013964370009489357,0.2230591310071759,nan,nan,0.9984152109827846
4,16,7.0,149,3,1.0,0,0.1,1,"V=0.1cos(1,0)",1,0.000191211081591712,0.00935296905171801,5.5233222471329e-07,0.046583498917155776,0.046583498917155776,0.0028492632862597406,0.009323824926748313,0.0013964370009489357,0.2230591310071759,nan,nan,0.8013338609889615
4,16,8.0,195,3,0.1,0,0.1,1,"V=0.1cos(1,0)",1,1.3193173995371946e-05,0.004546174131192856,6.516708613867233e-10,0.04529108136578384,0.004529108136578384,0.00031661047397309563,0.004547791871814254,0.0013964370009489357,0.2230591310071759,nan,nan,0.29474777801078744
4,16,8.0,195,3,0.2,0,0.1,1,"V=0.1cos(1,0)",1,2.5175502706916607e-05,0.005793458595960784,2.214797342284803e-09,0.04529108136578384,0.009058216273156767,0.0006311827669449328,0.0057965441751857754,0.0013964370009489357,0.2230591310071759,nan,nan,0.5225632390065584
4,16,8.0,195,3,0.3,0,0.1,1,"V=0.1cos(1,0)",1,3.488062276117571e-05,0.00643158462824311,3.801902153068601e-09,0.04529108136578384,0.013587324409735152,0.0009417035767968956,0.006432373585495418,0.0013964370009489357,0.2230591310071759,nan,nan,1.5983579930034466
