train_mode,test_mode,policy,deadline_us,tesseract_multiplier,tesseract_mu_us,tesseract_sigma_us,cm_on_time_prob,tess_on_time_prob,effective_lfr,baseline_lfr_always_cm,intervened_lfr_always_tess,deadline_feasible_fraction,num_test_conditions
traditional_calibration,reinforcement_learning,always_tesseract,6,1.000000,4.654000,0.499000,0.996506,0.996506,0.093947,0.111520,0.093947,0.999988,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,6,1.000000,4.654000,0.499000,0.996506,0.996506,0.093947,0.111520,0.093947,0.999988,20
traditional_calibration,reinforcement_learning,burden_threshold,6,1.000000,4.654000,0.499000,0.996506,0.996506,0.094188,0.111520,0.093947,0.999988,20
traditional_calibration,reinforcement_learning,always_correlated_matching,7,1.000000,4.654000,0.499000,0.999999,0.999999,0.111450,0.111450,0.093885,1.000000,20
traditional_calibration,reinforcement_learning,always_tesseract,7,1.000000,4.654000,0.499000,0.999999,0.999999,0.093885,0.111450,0.093885,1.000000,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,7,1.000000,4.654000,0.499000,0.999999,0.999999,0.093885,0.111450,0.093885,1.000000,20
traditional_calibration,reinforcement_learning,burden_threshold,7,1.000000,4.654000,0.499000,0.999999,0.999999,0.094120,0.111450,0.093885,1.000000,20
traditional_calibration,reinforcement_learning,always_correlated_matching,8,1.000000,4.654000,0.499000,1.000000,1.000000,0.111450,0.111450,0.093885,1.000000,20
traditional_calibration,reinforcement_learning,always_tesseract,8,1.000000,4.654000,0.499000,1.000000,1.000000,0.093885,0.111450,0.093885,1.000000,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,8,1.000000,4.654000,0.499000,1.000000,1.000000,0.093885,0.111450,0.093885,1.000000,20
traditional_calibration,reinforcement_learning,burden_threshold,8,1.000000,4.654000,0.499000,1.000000,1.000000,0.094120,0.111450,0.093885,1.000000,20
traditional_calibration,reinforcement_learning,always_correlated_matching,4,1.250000,5.817500,0.623750,0.094993,0.001785,0.129550,0.129550,0.129486,0.096608,20
traditional_calibration,reinforcement_learning,always_tesseract,4,1.250000,5.817500,0.623750,0.094993,0.001785,0.129486,0.129550,0.129486,0.096608,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,4,1.250000,5.817500,0.623750,0.094993,0.001785,0.129486,0.129550,0.129486,0.096608,20
traditional_calibration,reinforcement_learning,burden_threshold,4,1.250000,5.817500,0.623750,0.094993,0.001785,0.129490,0.129550,0.129486,0.096608,20
traditional_calibration,reinforcement_learning,always_correlated_matching,5,1.250000,5.817500,0.623750,0.755967,0.094993,0.116331,0.116331,0.114198,0.779148,20
traditional_calibration,reinforcement_learning,always_tesseract,5,1.250000,5.817500,0.623750,0.755967,0.094993,0.114198,0.116331,0.114198,0.779148,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,5,1.250000,5.817500,0.623750,0.755967,0.094993,0.114198,0.116331,0.114198,0.779148,20
traditional_calibration,reinforcement_learning,burden_threshold,5,1.250000,5.817500,0.623750,0.755967,0.094993,0.114267,0.116331,0.114198,0.779148,20
traditional_calibration,reinforcement_learning,always_correlated_matching,6,1.250000,5.817500,0.623750,0.996506,0.615080,0.111520,0.111520,0.100673,0.998655,20
traditional_calibration,reinforcement_learning,always_tesseract,6,1.250000,5.817500,0.623750,0.996506,0.615080,0.100673,0.111520,0.100673,0.998655,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,6,1.250000,5.817500,0.623750,0.996506,0.615080,0.100673,0.111520,0.100673,0.998655,20
traditional_calibration,reinforcement_learning,burden_threshold,6,1.250000,5.817500,0.623750,0.996506,0.615080,0.100822,0.111520,0.100673,0.998655,20
traditional_calibration,reinforcement_learning,always_correlated_matching,7,1.250000,5.817500,0.623750,0.999999,0.971006,0.111450,0.111450,0.094394,1.000000,20
traditional_calibration,reinforcement_learning,always_tesseract,7,1.250000,5.817500,0.623750,0.999999,0.971006,0.094394,0.111450,0.094394,1.000000,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,7,1.250000,5.817500,0.623750,0.999999,0.971006,0.094394,0.111450,0.094394,1.000000,20
traditional_calibration,reinforcement_learning,burden_threshold,7,1.250000,5.817500,0.623750,0.999999,0.971006,0.094622,0.111450,0.094394,1.000000,20
traditional_calibration,reinforcement_learning,always_correlated_matching,8,1.250000,5.817500,0.623750,1.000000,0.999766,0.111450,0.111450,0.093889,1.000000,20
traditional_calibration,reinforcement_learning,always_tesseract,8,1.250000,5.817500,0.623750,1.000000,0.999766,0.093889,0.111450,0.093889,1.000000,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,8,1.250000,5.817500,0.623750,1.000000,0.999766,0.093889,0.111450,0.093889,1.000000,20
traditional_calibration,reinforcement_learning,burden_threshold,8,1.250000,5.817500,0.623750,1.000000,0.999766,0.094124,0.111450,0.093889,1.000000,20
traditional_calibration,reinforcement_learning,always_correlated_matching,4,1.500000,6.981000,0.748500,0.094993,0.000034,0.129550,0.129550,0.129549,0.095024,20
traditional_calibration,reinforcement_learning,always_tesseract,4,1.500000,6.981000,0.748500,0.094993,0.000034,0.129549,0.129550,0.129549,0.095024,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,4,1.500000,6.981000,0.748500,0.094993,0.000034,0.129549,0.129550,0.129549,0.095024,20
traditional_calibration,reinforcement_learning,burden_threshold,4,1.500000,6.981000,0.748500,0.094993,0.000034,0.129549,0.129550,0.129549,0.095024,20
traditional_calibration,reinforcement_learning,always_correlated_matching,5,1.500000,6.981000,0.748500,0.755967,0.004065,0.116331,0.116331,0.116239,0.756959,20
traditional_calibration,reinforcement_learning,always_tesseract,5,1.500000,6.981000,0.748500,0.755967,0.004065,0.116239,0.116331,0.116239,0.756959,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,5,1.500000,6.981000,0.748500,0.755967,0.004065,0.116239,0.116331,0.116239,0.756959,20
traditional_calibration,reinforcement_learning,burden_threshold,5,1.500000,6.981000,0.748500,0.755967,0.004065,0.116242,0.116331,0.116239,0.756959,20
traditional_calibration,reinforcement_learning,always_correlated_matching,6,1.500000,6.981000,0.748500,0.996506,0.094993,0.111520,0.111520,0.109845,0.996838,20
traditional_calibration,reinforcement_learning,always_tesseract,6,1.500000,6.981000,0.748500,0.996506,0.094993,0.109845,0.111520,0.109845,0.996838,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,6,1.500000,6.981000,0.748500,0.996506,0.094993,0.109845,0.111520,0.109845,0.996838,20
traditional_calibration,reinforcement_learning,burden_threshold,6,1.500000,6.981000,0.748500,0.996506,0.094993,0.109868,0.111520,0.109845,0.996838,20
traditional_calibration,reinforcement_learning,always_correlated_matching,7,1.500000,6.981000,0.748500,0.999999,0.510126,0.111450,0.111450,0.102490,0.999999,20
traditional_calibration,reinforcement_learning,always_tesseract,7,1.500000,6.981000,0.748500,0.999999,0.510126,0.102490,0.111450,0.102490,0.999999,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,7,1.500000,6.981000,0.748500,0.999999,0.510126,0.102490,0.111450,0.102490,0.999999,20
traditional_calibration,reinforcement_learning,burden_threshold,7,1.500000,6.981000,0.748500,0.999999,0.510126,0.102610,0.111450,0.102490,0.999999,20
traditional_calibration,reinforcement_learning,always_correlated_matching,8,1.500000,6.981000,0.748500,1.000000,0.913305,0.111450,0.111450,0.095408,1.000000,20
traditional_calibration,reinforcement_learning,always_tesseract,8,1.500000,6.981000,0.748500,1.000000,0.913305,0.095408,0.111450,0.095408,1.000000,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,8,1.500000,6.981000,0.748500,1.000000,0.913305,0.095408,0.111450,0.095408,1.000000,20
traditional_calibration,reinforcement_learning,burden_threshold,8,1.500000,6.981000,0.748500,1.000000,0.913305,0.095622,0.111450,0.095408,1.000000,20
