run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,58,100,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.300000,0.300000,0.414668,0.114668,False,False,False,0.000000,0.000000,0.238001,False,36,11,"[2,3,6,7,16,17,18,22,24,28,32]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,59,101,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.320000,0.320000,0.340969,0.020969,False,False,False,0.000000,0.000000,0.167727,False,36,0,[],False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,60,102,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.000000,0.000000,0.030591,0.030591,False,False,False,0.000000,0.000000,0.174943,False,36,1,[16],False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,61,103,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.020000,0.020000,0.061254,0.041254,False,False,False,0.000000,0.000000,0.182940,False,36,2,"[4,8]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,62,104,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.040000,0.040000,0.064969,0.024969,False,False,False,0.000000,0.000000,0.170727,False,36,0,[],False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,63,105,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.060000,0.060000,0.089896,0.029896,False,False,False,0.000000,0.000000,0.174422,False,36,0,[],False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,64,106,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.080000,0.080000,0.142567,0.062567,False,False,False,0.000000,0.000000,0.198925,False,36,5,"[1,2,28,32,34]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,65,107,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.100000,0.100000,0.149561,0.049561,False,False,False,0.000000,0.000000,0.189171,False,36,2,"[22,23]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,66,108,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.120000,0.120000,0.137226,0.017226,False,False,False,0.000000,0.000000,0.164920,False,36,0,[],False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,67,109,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.140000,0.140000,0.183837,0.043837,False,False,False,0.000000,0.000000,0.184878,False,36,2,"[5,9]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,68,110,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.160000,0.160000,0.236138,0.076138,False,False,False,0.000000,0.000000,0.209103,False,36,6,"[8,13,17,20,21,22]",False,False,False,False,,none,,none,no_failure
