run_id,workload_id,stress_level,experiment_name,basis,cycles,cycle_dir,source_data_dir,decoder_pathway,repeat_id,batch_id,batch_size,first_shot_id,last_shot_id,mean_detector_event_count,max_detector_event_count,decode_wall_time_ns,decode_wall_time_us,per_shot_decode_time_us,throughput_shots_per_second
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,67,128,8576,8703,15.804688,41,532933,532.933000,4.163539,240180.285327
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,68,128,8704,8831,15.625000,37,556643,556.643000,4.348773,229949.896073
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,69,128,8832,8959,15.265625,42,630146,630.146000,4.923016,203127.529176
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,70,128,8960,9087,15.015625,34,646429,646.429000,5.050227,198010.918446
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,71,128,9088,9215,16.007812,40,590434,590.434000,4.612766,216789.683521
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,72,128,9216,9343,14.984375,30,564234,564.234000,4.408078,226856.233407
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,73,128,9344,9471,14.625000,34,590124,590.124000,4.610344,216903.566030
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,74,128,9472,9599,15.304688,28,534313,534.313000,4.174320,239559.958302
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,75,128,9600,9727,15.093750,33,562893,562.893000,4.397602,227396.681074
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,76,128,9728,9855,14.992188,38,692756,692.756000,5.412156,184769.240541
